20230724	19:44:55	1b2cac44-0670-444e-b6ef-a8d9b994d87c	GET	 undefined	 /
20230724	19:44:55	e4a04e3f-8e50-4c7c-ab25-b4fd5b3d13f8	GET	 undefined	 /css/style.css
20230724	19:44:56	f188aed9-ca9f-40c9-9dd5-650f0292f11d	GET	 undefined	 /
20230724	19:44:56	3e7fe9d8-8ca3-4a5c-b596-290f2df76b37	GET	 undefined	 /css/style.css
20230724	19:44:57	f18f420e-f434-4c15-a101-dfc556f8306f	GET	 undefined	 /
20230724	19:44:57	731b8ccf-89c4-4dae-96a5-19a13e982bda	GET	 undefined	 /css/style.css
20230724	19:45:06	78a8d332-7985-4f45-891b-ccb9bd418ba0	GET	 undefined	 /
20230724	19:45:06	dc5b3071-b538-4b85-9010-c56c58388d1c	GET	 undefined	 /css/style.css
20230724	19:45:06	1091b404-5111-41f0-9261-8db2744f79cb	GET	 undefined	 /
20230724	19:45:06	14e38ac5-d4a7-41e4-8394-e782e4546774	GET	 undefined	 /css/style.css
20230724	19:45:07	2463394b-08c5-4c6a-ba6a-d44e247aea4a	GET	 undefined	 /
20230724	19:45:07	2b45a234-f73e-458e-ba81-2484419d5491	GET	 undefined	 /css/style.css
20230724	19:45:08	e2c96c88-cbbf-4685-8ce9-e16783be6b27	GET	 undefined	 /
20230724	19:45:08	af8a070d-1ac5-4499-b011-d46413f85972	GET	 undefined	 /css/style.css
20230724	19:45:08	b35a08fe-cea7-4bef-8595-2d681d2ee8ea	GET	 undefined	 /
20230724	19:45:09	e3a3ac8c-a1e4-4b81-b6d9-4d186ae24fd6	GET	 undefined	 /css/style.css
20230724	19:45:09	b6ce337f-abee-4d3b-9c83-2cf5934b56e3	GET	 undefined	 /
20230724	19:45:09	35b16886-4c32-40d6-9add-afbc617d5c58	GET	 undefined	 /css/style.css
20230724	19:45:09	1b60d860-65d5-4ce0-bfa4-be936c111bdf	GET	 undefined	 /
20230724	19:45:09	a7c59c1f-6779-4da9-a6b0-9a6251b98dbf	GET	 undefined	 /css/style.css
20230724	19:45:09	1e639c13-180d-463e-8509-0071ea90a9d8	GET	 undefined	 /
20230724	19:45:09	93abd4c1-1942-4687-9ea5-2d8dd09d8b6f	GET	 undefined	 /css/style.css
20230724	19:45:10	9bed31b8-f418-4c1c-b592-70353bf8e7e9	GET	 undefined	 /
20230724	19:45:10	b1eb7682-2a8b-4bc2-9feb-837d31fa48b0	GET	 undefined	 /
20230724	19:45:10	8abf0c3b-47c9-4f63-9a78-7bfda9835b5e	GET	 undefined	 /css/style.css
20230724	19:45:10	2bbdf36b-4b9b-493a-a927-0cfab530d78b	GET	 undefined	 /
20230724	19:45:10	d3b2dd0a-296c-40c7-b4da-bdbdbcb07d74	GET	 undefined	 /css/style.css
20230724	19:45:10	666677b2-3ece-4536-aae1-10fd6bcd4929	GET	 undefined	 /
